Machine Number,Part Number,Full_Path_Way,Base_Path,File_Name,Camera,Datetime,DateOnly,ISO_8601,Extension,Width,Height,Depth,Defect Type,xmin,ymin,xmax,ymax,xdelta,ydelta,Area,Score
None,None,D:\Dropbox (Stackpole)\lean_AI\2022-02-23\NG_250_each_defect\outer_rim_chips_with_other\from_train\s1_outer_surface_20210219T113314.xml,D:\Dropbox (Stackpole)\lean_AI\2022-02-23\NG_250_each_defect\outer_rim_chips_with_other\from_train,s1_outer_surface_20210219T113314.xml,s1_outer_surface,2021-02-19  11:33:14,2021-02-19 ,20210219T113314,.xml,550,4512,1,Chip,31,3932,67,3980,36,48,1728,Manual
None,None,D:\Dropbox (Stackpole)\lean_AI\2022-02-23\NG_250_each_defect\outer_rim_chips_with_other\from_train\s1_outer_surface_20210219T113314.xml,D:\Dropbox (Stackpole)\lean_AI\2022-02-23\NG_250_each_defect\outer_rim_chips_with_other\from_train,s1_outer_surface_20210219T113314.xml,s1_outer_surface,2021-02-19  11:33:14,2021-02-19 ,20210219T113314,.xml,550,4512,1,Crack,81,374,133,480,52,106,5512,Manual
None,None,D:\Dropbox (Stackpole)\lean_AI\2022-02-23\NG_250_each_defect\outer_rim_chips_with_other\from_train\s1_outer_surface_20210219T113314.xml,D:\Dropbox (Stackpole)\lean_AI\2022-02-23\NG_250_each_defect\outer_rim_chips_with_other\from_train,s1_outer_surface_20210219T113314.xml,s1_outer_surface,2021-02-19  11:33:14,2021-02-19 ,20210219T113314,.xml,550,4512,1,Crack,41,1,97,114,56,113,6328,Manual
None,None,D:\Dropbox (Stackpole)\lean_AI\2022-02-23\NG_250_each_defect\outer_rim_chips_with_other\from_train\s1_outer_surface_20210219T113314.xml,D:\Dropbox (Stackpole)\lean_AI\2022-02-23\NG_250_each_defect\outer_rim_chips_with_other\from_train,s1_outer_surface_20210219T113314.xml,s1_outer_surface,2021-02-19  11:33:14,2021-02-19 ,20210219T113314,.xml,550,4512,1,Crack,76,4325,139,4431,63,106,6678,Manual
None,None,D:\Dropbox (Stackpole)\lean_AI\2022-02-23\NG_250_each_defect\outer_rim_chips_with_other\from_train\s1_outer_surface_20210219T113314.xml,D:\Dropbox (Stackpole)\lean_AI\2022-02-23\NG_250_each_defect\outer_rim_chips_with_other\from_train,s1_outer_surface_20210219T113314.xml,s1_outer_surface,2021-02-19  11:33:14,2021-02-19 ,20210219T113314,.xml,550,4512,1,Crack,42,3965,108,4091,66,126,8316,Manual
None,None,D:\Dropbox (Stackpole)\lean_AI\2022-02-23\NG_250_each_defect\outer_rim_chips_with_other\from_train\s1_outer_surface_20210219T113329.xml,D:\Dropbox (Stackpole)\lean_AI\2022-02-23\NG_250_each_defect\outer_rim_chips_with_other\from_train,s1_outer_surface_20210219T113329.xml,s1_outer_surface,2021-02-19  11:33:29,2021-02-19 ,20210219T113329,.xml,550,4512,1,Chip,464,3713,516,3876,52,163,8476,Manual
None,None,D:\Dropbox (Stackpole)\lean_AI\2022-02-23\NG_250_each_defect\outer_rim_chips_with_other\from_train\s1_outer_surface_20210219T113329.xml,D:\Dropbox (Stackpole)\lean_AI\2022-02-23\NG_250_each_defect\outer_rim_chips_with_other\from_train,s1_outer_surface_20210219T113329.xml,s1_outer_surface,2021-02-19  11:33:29,2021-02-19 ,20210219T113329,.xml,550,4512,1,Chip,33,3924,144,4457,111,533,59163,Manual
None,None,D:\Dropbox (Stackpole)\lean_AI\2022-02-23\NG_250_each_defect\outer_rim_chips_with_other\from_train\s1_outer_surface_20210219T113329.xml,D:\Dropbox (Stackpole)\lean_AI\2022-02-23\NG_250_each_defect\outer_rim_chips_with_other\from_train,s1_outer_surface_20210219T113329.xml,s1_outer_surface,2021-02-19  11:33:29,2021-02-19 ,20210219T113329,.xml,550,4512,1,Chip,33,1,124,496,91,495,45045,Manual
None,None,D:\Dropbox (Stackpole)\lean_AI\2022-02-23\NG_250_each_defect\outer_rim_chips_with_other\from_train\s1_outer_surface_20210219T113344.xml,D:\Dropbox (Stackpole)\lean_AI\2022-02-23\NG_250_each_defect\outer_rim_chips_with_other\from_train,s1_outer_surface_20210219T113344.xml,s1_outer_surface,2021-02-19  11:33:44,2021-02-19 ,20210219T113344,.xml,550,4512,1,Chip,452,4251,518,4452,66,201,13266,Manual
None,None,D:\Dropbox (Stackpole)\lean_AI\2022-02-23\NG_250_each_defect\outer_rim_chips_with_other\from_train\s1_outer_surface_20210219T113344.xml,D:\Dropbox (Stackpole)\lean_AI\2022-02-23\NG_250_each_defect\outer_rim_chips_with_other\from_train,s1_outer_surface_20210219T113344.xml,s1_outer_surface,2021-02-19  11:33:44,2021-02-19 ,20210219T113344,.xml,550,4512,1,Chip,455,298,518,506,63,208,13104,Manual
None,None,D:\Dropbox (Stackpole)\lean_AI\2022-02-23\NG_250_each_defect\outer_rim_chips_with_other\from_train\s1_outer_surface_20210219T113400.xml,D:\Dropbox (Stackpole)\lean_AI\2022-02-23\NG_250_each_defect\outer_rim_chips_with_other\from_train,s1_outer_surface_20210219T113400.xml,s1_outer_surface,2021-02-19  11:34:00,2021-02-19 ,20210219T113400,.xml,550,4512,1,Chip,443,2247,519,2474,76,227,17252,Manual
None,None,D:\Dropbox (Stackpole)\lean_AI\2022-02-23\NG_250_each_defect\outer_rim_chips_with_other\from_train\s1_outer_surface_20210219T113415.xml,D:\Dropbox (Stackpole)\lean_AI\2022-02-23\NG_250_each_defect\outer_rim_chips_with_other\from_train,s1_outer_surface_20210219T113415.xml,s1_outer_surface,2021-02-19  11:34:15,2021-02-19 ,20210219T113415,.xml,550,4512,1,Chip,33,2254,107,2407,74,153,11322,Manual
None,None,D:\Dropbox (Stackpole)\lean_AI\2022-02-23\NG_250_each_defect\outer_rim_chips_with_other\from_train\s1_outer_surface_20210219T113431.xml,D:\Dropbox (Stackpole)\lean_AI\2022-02-23\NG_250_each_defect\outer_rim_chips_with_other\from_train,s1_outer_surface_20210219T113431.xml,s1_outer_surface,2021-02-19  11:34:31,2021-02-19 ,20210219T113431,.xml,550,4512,1,Chip,441,539,517,735,76,196,14896,Manual
None,None,D:\Dropbox (Stackpole)\lean_AI\2022-02-23\NG_250_each_defect\outer_rim_chips_with_other\from_train\s1_outer_surface_20210219T113446.xml,D:\Dropbox (Stackpole)\lean_AI\2022-02-23\NG_250_each_defect\outer_rim_chips_with_other\from_train,s1_outer_surface_20210219T113446.xml,s1_outer_surface,2021-02-19  11:34:46,2021-02-19 ,20210219T113446,.xml,550,4512,1,Chip,33,770,132,1055,99,285,28215,Manual
None,None,D:\Dropbox (Stackpole)\lean_AI\2022-02-23\NG_250_each_defect\outer_rim_chips_with_other\from_train\s1_outer_surface_20210219T113446.xml,D:\Dropbox (Stackpole)\lean_AI\2022-02-23\NG_250_each_defect\outer_rim_chips_with_other\from_train,s1_outer_surface_20210219T113446.xml,s1_outer_surface,2021-02-19  11:34:46,2021-02-19 ,20210219T113446,.xml,550,4512,1,Chip,457,543,519,709,62,166,10292,Manual
None,None,D:\Dropbox (Stackpole)\lean_AI\2022-02-23\NG_250_each_defect\outer_rim_chips_with_other\from_train\s1_outer_surface_20210219T113501.xml,D:\Dropbox (Stackpole)\lean_AI\2022-02-23\NG_250_each_defect\outer_rim_chips_with_other\from_train,s1_outer_surface_20210219T113501.xml,s1_outer_surface,2021-02-19  11:35:01,2021-02-19 ,20210219T113501,.xml,550,4512,1,Chip,32,677,144,1060,112,383,42896,Manual
None,None,D:\Dropbox (Stackpole)\lean_AI\2022-02-23\NG_250_each_defect\outer_rim_chips_with_other\from_train\s1_outer_surface_20210219T113501.xml,D:\Dropbox (Stackpole)\lean_AI\2022-02-23\NG_250_each_defect\outer_rim_chips_with_other\from_train,s1_outer_surface_20210219T113501.xml,s1_outer_surface,2021-02-19  11:35:01,2021-02-19 ,20210219T113501,.xml,550,4512,1,Chip,436,1663,518,1920,82,257,21074,Manual
None,None,D:\Dropbox (Stackpole)\lean_AI\2022-02-23\NG_250_each_defect\outer_rim_chips_with_other\from_train\s1_outer_surface_20210219T113501.xml,D:\Dropbox (Stackpole)\lean_AI\2022-02-23\NG_250_each_defect\outer_rim_chips_with_other\from_train,s1_outer_surface_20210219T113501.xml,s1_outer_surface,2021-02-19  11:35:01,2021-02-19 ,20210219T113501,.xml,550,4512,1,Chip,440,2807,517,2955,77,148,11396,Manual
None,None,D:\Dropbox (Stackpole)\lean_AI\2022-02-23\NG_250_each_defect\outer_rim_chips_with_other\from_train\s1_outer_surface_20210219T113517.xml,D:\Dropbox (Stackpole)\lean_AI\2022-02-23\NG_250_each_defect\outer_rim_chips_with_other\from_train,s1_outer_surface_20210219T113517.xml,s1_outer_surface,2021-02-19  11:35:17,2021-02-19 ,20210219T113517,.xml,550,4512,1,Chip,34,1416,114,1628,80,212,16960,Manual
None,None,D:\Dropbox (Stackpole)\lean_AI\2022-02-23\NG_250_each_defect\outer_rim_chips_with_other\from_train\s1_outer_surface_20210219T113532.xml,D:\Dropbox (Stackpole)\lean_AI\2022-02-23\NG_250_each_defect\outer_rim_chips_with_other\from_train,s1_outer_surface_20210219T113532.xml,s1_outer_surface,2021-02-19  11:35:32,2021-02-19 ,20210219T113532,.xml,550,4512,1,Chip,454,2563,516,2770,62,207,12834,Manual
None,None,D:\Dropbox (Stackpole)\lean_AI\2022-02-23\NG_250_each_defect\outer_rim_chips_with_other\from_train\s1_outer_surface_20210219T113547.xml,D:\Dropbox (Stackpole)\lean_AI\2022-02-23\NG_250_each_defect\outer_rim_chips_with_other\from_train,s1_outer_surface_20210219T113547.xml,s1_outer_surface,2021-02-19  11:35:47,2021-02-19 ,20210219T113547,.xml,550,4512,1,Chip,450,296,518,502,68,206,14008,Manual
None,None,D:\Dropbox (Stackpole)\lean_AI\2022-02-23\NG_250_each_defect\outer_rim_chips_with_other\from_train\s1_outer_surface_20210219T113547.xml,D:\Dropbox (Stackpole)\lean_AI\2022-02-23\NG_250_each_defect\outer_rim_chips_with_other\from_train,s1_outer_surface_20210219T113547.xml,s1_outer_surface,2021-02-19  11:35:47,2021-02-19 ,20210219T113547,.xml,550,4512,1,Chip,450,4235,519,4453,69,218,15042,Manual
None,None,D:\Dropbox (Stackpole)\lean_AI\2022-02-23\NG_250_each_defect\outer_rim_chips_with_other\from_train\s1_outer_surface_20210219T113547.xml,D:\Dropbox (Stackpole)\lean_AI\2022-02-23\NG_250_each_defect\outer_rim_chips_with_other\from_train,s1_outer_surface_20210219T113547.xml,s1_outer_surface,2021-02-19  11:35:47,2021-02-19 ,20210219T113547,.xml,550,4512,1,Crack,446,563,479,670,33,107,3531,Manual
None,None,D:\Dropbox (Stackpole)\lean_AI\2022-02-23\NG_250_each_defect\outer_rim_chips_with_other\from_train\s1_outer_surface_20210219T113603.xml,D:\Dropbox (Stackpole)\lean_AI\2022-02-23\NG_250_each_defect\outer_rim_chips_with_other\from_train,s1_outer_surface_20210219T113603.xml,s1_outer_surface,2021-02-19  11:36:03,2021-02-19 ,20210219T113603,.xml,550,4512,1,Chip,435,2245,520,2472,85,227,19295,Manual
None,None,D:\Dropbox (Stackpole)\lean_AI\2022-02-23\NG_250_each_defect\outer_rim_chips_with_other\from_train\s1_outer_surface_20210219T113618.xml,D:\Dropbox (Stackpole)\lean_AI\2022-02-23\NG_250_each_defect\outer_rim_chips_with_other\from_train,s1_outer_surface_20210219T113618.xml,s1_outer_surface,2021-02-19  11:36:18,2021-02-19 ,20210219T113618,.xml,550,4512,1,Chip,32,2534,124,2757,92,223,20516,Manual
None,None,D:\Dropbox (Stackpole)\lean_AI\2022-02-23\NG_250_each_defect\outer_rim_chips_with_other\from_train\s1_outer_surface_20210219T113618.xml,D:\Dropbox (Stackpole)\lean_AI\2022-02-23\NG_250_each_defect\outer_rim_chips_with_other\from_train,s1_outer_surface_20210219T113618.xml,s1_outer_surface,2021-02-19  11:36:18,2021-02-19 ,20210219T113618,.xml,550,4512,1,Crack,52,3680,109,3854,57,174,9918,Manual
None,None,D:\Dropbox (Stackpole)\lean_AI\2022-02-23\NG_250_each_defect\outer_rim_chips_with_other\from_train\s1_outer_surface_20210219T113618.xml,D:\Dropbox (Stackpole)\lean_AI\2022-02-23\NG_250_each_defect\outer_rim_chips_with_other\from_train,s1_outer_surface_20210219T113618.xml,s1_outer_surface,2021-02-19  11:36:18,2021-02-19 ,20210219T113618,.xml,550,4512,1,Chip,29,3366,67,3431,38,65,2470,Manual
None,None,D:\Dropbox (Stackpole)\lean_AI\2022-02-23\NG_250_each_defect\outer_rim_chips_with_other\from_train\s1_outer_surface_20210219T113618.xml,D:\Dropbox (Stackpole)\lean_AI\2022-02-23\NG_250_each_defect\outer_rim_chips_with_other\from_train,s1_outer_surface_20210219T113618.xml,s1_outer_surface,2021-02-19  11:36:18,2021-02-19 ,20210219T113618,.xml,550,4512,1,Chip,30,1,144,491,114,490,55860,Manual
None,None,D:\Dropbox (Stackpole)\lean_AI\2022-02-23\NG_250_each_defect\outer_rim_chips_with_other\from_train\s1_outer_surface_20210219T113618.xml,D:\Dropbox (Stackpole)\lean_AI\2022-02-23\NG_250_each_defect\outer_rim_chips_with_other\from_train,s1_outer_surface_20210219T113618.xml,s1_outer_surface,2021-02-19  11:36:18,2021-02-19 ,20210219T113618,.xml,550,4512,1,Chip,31,3917,150,4456,119,539,64141,Manual
None,None,D:\Dropbox (Stackpole)\lean_AI\2022-02-23\NG_250_each_defect\outer_rim_chips_with_other\from_train\s1_outer_surface_20210219T113634.xml,D:\Dropbox (Stackpole)\lean_AI\2022-02-23\NG_250_each_defect\outer_rim_chips_with_other\from_train,s1_outer_surface_20210219T113634.xml,s1_outer_surface,2021-02-19  11:36:34,2021-02-19 ,20210219T113634,.xml,550,4512,1,Chip,451,1664,519,1857,68,193,13124,Manual
None,None,D:\Dropbox (Stackpole)\lean_AI\2022-02-23\NG_250_each_defect\outer_rim_chips_with_other\from_train\s1_outer_surface_20210219T113649.xml,D:\Dropbox (Stackpole)\lean_AI\2022-02-23\NG_250_each_defect\outer_rim_chips_with_other\from_train,s1_outer_surface_20210219T113649.xml,s1_outer_surface,2021-02-19  11:36:49,2021-02-19 ,20210219T113649,.xml,550,4512,1,Chip,443,1,519,187,76,186,14136,Manual
None,None,D:\Dropbox (Stackpole)\lean_AI\2022-02-23\NG_250_each_defect\outer_rim_chips_with_other\from_train\s1_outer_surface_20210219T113649.xml,D:\Dropbox (Stackpole)\lean_AI\2022-02-23\NG_250_each_defect\outer_rim_chips_with_other\from_train,s1_outer_surface_20210219T113649.xml,s1_outer_surface,2021-02-19  11:36:49,2021-02-19 ,20210219T113649,.xml,550,4512,1,Chip,443,3937,521,4141,78,204,15912,Manual
None,None,D:\Dropbox (Stackpole)\lean_AI\2022-02-23\NG_250_each_defect\outer_rim_chips_with_other\from_train\s1_outer_surface_20210219T113705.xml,D:\Dropbox (Stackpole)\lean_AI\2022-02-23\NG_250_each_defect\outer_rim_chips_with_other\from_train,s1_outer_surface_20210219T113705.xml,s1_outer_surface,2021-02-19  11:37:05,2021-02-19 ,20210219T113705,.xml,550,4512,1,Chip,32,3263,71,3329,39,66,2574,Manual
None,None,D:\Dropbox (Stackpole)\lean_AI\2022-02-23\NG_250_each_defect\outer_rim_chips_with_other\from_train\s1_outer_surface_20210219T113705.xml,D:\Dropbox (Stackpole)\lean_AI\2022-02-23\NG_250_each_defect\outer_rim_chips_with_other\from_train,s1_outer_surface_20210219T113705.xml,s1_outer_surface,2021-02-19  11:37:05,2021-02-19 ,20210219T113705,.xml,550,4512,1,Chip,460,1,518,165,58,164,9512,Manual
None,None,D:\Dropbox (Stackpole)\lean_AI\2022-02-23\NG_250_each_defect\outer_rim_chips_with_other\from_train\s1_outer_surface_20210219T113705.xml,D:\Dropbox (Stackpole)\lean_AI\2022-02-23\NG_250_each_defect\outer_rim_chips_with_other\from_train,s1_outer_surface_20210219T113705.xml,s1_outer_surface,2021-02-19  11:37:05,2021-02-19 ,20210219T113705,.xml,550,4512,1,Chip,448,3934,518,4126,70,192,13440,Manual
None,None,D:\Dropbox (Stackpole)\lean_AI\2022-02-23\NG_250_each_defect\outer_rim_chips_with_other\from_train\s1_outer_surface_20210219T113806.xml,D:\Dropbox (Stackpole)\lean_AI\2022-02-23\NG_250_each_defect\outer_rim_chips_with_other\from_train,s1_outer_surface_20210219T113806.xml,s1_outer_surface,2021-02-19  11:38:06,2021-02-19 ,20210219T113806,.xml,550,4512,1,Chip,441,1109,518,1346,77,237,18249,Manual
None,None,D:\Dropbox (Stackpole)\lean_AI\2022-02-23\NG_250_each_defect\outer_rim_chips_with_other\from_train\s1_outer_surface_20210219T113821.xml,D:\Dropbox (Stackpole)\lean_AI\2022-02-23\NG_250_each_defect\outer_rim_chips_with_other\from_train,s1_outer_surface_20210219T113821.xml,s1_outer_surface,2021-02-19  11:38:21,2021-02-19 ,20210219T113821,.xml,550,4512,1,Chip,430,1110,518,1355,88,245,21560,Manual
None,None,D:\Dropbox (Stackpole)\lean_AI\2022-02-23\NG_250_each_defect\outer_rim_chips_with_other\from_train\s1_outer_surface_20210219T113837.xml,D:\Dropbox (Stackpole)\lean_AI\2022-02-23\NG_250_each_defect\outer_rim_chips_with_other\from_train,s1_outer_surface_20210219T113837.xml,s1_outer_surface,2021-02-19  11:38:37,2021-02-19 ,20210219T113837,.xml,550,4512,1,Chip,39,2244,144,2772,105,528,55440,Manual
None,None,D:\Dropbox (Stackpole)\lean_AI\2022-02-23\NG_250_each_defect\outer_rim_chips_with_other\from_train\s1_outer_surface_20210219T113852.xml,D:\Dropbox (Stackpole)\lean_AI\2022-02-23\NG_250_each_defect\outer_rim_chips_with_other\from_train,s1_outer_surface_20210219T113852.xml,s1_outer_surface,2021-02-19  11:38:52,2021-02-19 ,20210219T113852,.xml,550,4512,1,Crack,81,2847,130,3195,49,348,17052,Manual
None,None,D:\Dropbox (Stackpole)\lean_AI\2022-02-23\NG_250_each_defect\outer_rim_chips_with_other\from_train\s1_outer_surface_20210219T113852.xml,D:\Dropbox (Stackpole)\lean_AI\2022-02-23\NG_250_each_defect\outer_rim_chips_with_other\from_train,s1_outer_surface_20210219T113852.xml,s1_outer_surface,2021-02-19  11:38:52,2021-02-19 ,20210219T113852,.xml,550,4512,1,Chip,439,2243,518,2466,79,223,17617,Manual
None,None,D:\Dropbox (Stackpole)\lean_AI\2022-02-23\NG_250_each_defect\outer_rim_chips_with_other\from_train\s1_outer_surface_20210219T113908.xml,D:\Dropbox (Stackpole)\lean_AI\2022-02-23\NG_250_each_defect\outer_rim_chips_with_other\from_train,s1_outer_surface_20210219T113908.xml,s1_outer_surface,2021-02-19  11:39:08,2021-02-19 ,20210219T113908,.xml,550,4512,1,Chip,36,2240,172,2767,136,527,71672,Manual
None,None,D:\Dropbox (Stackpole)\lean_AI\2022-02-23\NG_250_each_defect\outer_rim_chips_with_other\from_train\s1_outer_surface_20210219T113923.xml,D:\Dropbox (Stackpole)\lean_AI\2022-02-23\NG_250_each_defect\outer_rim_chips_with_other\from_train,s1_outer_surface_20210219T113923.xml,s1_outer_surface,2021-02-19  11:39:23,2021-02-19 ,20210219T113923,.xml,550,4512,1,Chip,442,1099,519,1325,77,226,17402,Manual
None,None,D:\Dropbox (Stackpole)\lean_AI\2022-02-23\NG_250_each_defect\outer_rim_chips_with_other\from_train\s1_outer_surface_20210219T113938.xml,D:\Dropbox (Stackpole)\lean_AI\2022-02-23\NG_250_each_defect\outer_rim_chips_with_other\from_train,s1_outer_surface_20210219T113938.xml,s1_outer_surface,2021-02-19  11:39:38,2021-02-19 ,20210219T113938,.xml,550,4512,1,Chip,423,2245,518,2505,95,260,24700,Manual
None,None,D:\Dropbox (Stackpole)\lean_AI\2022-02-23\NG_250_each_defect\outer_rim_chips_with_other\from_train\s1_outer_surface_20210219T113938.xml,D:\Dropbox (Stackpole)\lean_AI\2022-02-23\NG_250_each_defect\outer_rim_chips_with_other\from_train,s1_outer_surface_20210219T113938.xml,s1_outer_surface,2021-02-19  11:39:38,2021-02-19 ,20210219T113938,.xml,550,4512,1,Chip,493,1959,520,2072,27,113,3051,Manual
None,None,D:\Dropbox (Stackpole)\lean_AI\2022-02-23\NG_250_each_defect\outer_rim_chips_with_other\from_train\s1_outer_surface_20210219T113954.xml,D:\Dropbox (Stackpole)\lean_AI\2022-02-23\NG_250_each_defect\outer_rim_chips_with_other\from_train,s1_outer_surface_20210219T113954.xml,s1_outer_surface,2021-02-19  11:39:54,2021-02-19 ,20210219T113954,.xml,550,4512,1,Crack,455,2836,514,3001,59,165,9735,Manual
None,None,D:\Dropbox (Stackpole)\lean_AI\2022-02-23\NG_250_each_defect\outer_rim_chips_with_other\from_train\s1_outer_surface_20210219T113954.xml,D:\Dropbox (Stackpole)\lean_AI\2022-02-23\NG_250_each_defect\outer_rim_chips_with_other\from_train,s1_outer_surface_20210219T113954.xml,s1_outer_surface,2021-02-19  11:39:54,2021-02-19 ,20210219T113954,.xml,550,4512,1,Chip,436,1108,516,1348,80,240,19200,Manual
None,None,D:\Dropbox (Stackpole)\lean_AI\2022-02-23\NG_250_each_defect\outer_rim_chips_with_other\from_train\s1_outer_surface_20210219T114009.xml,D:\Dropbox (Stackpole)\lean_AI\2022-02-23\NG_250_each_defect\outer_rim_chips_with_other\from_train,s1_outer_surface_20210219T114009.xml,s1_outer_surface,2021-02-19  11:40:09,2021-02-19 ,20210219T114009,.xml,550,4512,1,Crack,88,3708,145,3864,57,156,8892,Manual
None,None,D:\Dropbox (Stackpole)\lean_AI\2022-02-23\NG_250_each_defect\outer_rim_chips_with_other\from_train\s1_outer_surface_20210219T114009.xml,D:\Dropbox (Stackpole)\lean_AI\2022-02-23\NG_250_each_defect\outer_rim_chips_with_other\from_train,s1_outer_surface_20210219T114009.xml,s1_outer_surface,2021-02-19  11:40:09,2021-02-19 ,20210219T114009,.xml,550,4512,1,Crack,42,1136,148,1388,106,252,26712,Manual
None,None,D:\Dropbox (Stackpole)\lean_AI\2022-02-23\NG_250_each_defect\outer_rim_chips_with_other\from_train\s1_outer_surface_20210219T114009.xml,D:\Dropbox (Stackpole)\lean_AI\2022-02-23\NG_250_each_defect\outer_rim_chips_with_other\from_train,s1_outer_surface_20210219T114009.xml,s1_outer_surface,2021-02-19  11:40:09,2021-02-19 ,20210219T114009,.xml,550,4512,1,Chip,451,831,517,1063,66,232,15312,Manual
None,None,D:\Dropbox (Stackpole)\lean_AI\2022-02-23\NG_250_each_defect\outer_rim_chips_with_other\from_train\s1_outer_surface_20210219T114009.xml,D:\Dropbox (Stackpole)\lean_AI\2022-02-23\NG_250_each_defect\outer_rim_chips_with_other\from_train,s1_outer_surface_20210219T114009.xml,s1_outer_surface,2021-02-19  11:40:09,2021-02-19 ,20210219T114009,.xml,550,4512,1,Chip,459,3573,517,3880,58,307,17806,Manual
